filename,title,count,percentage,women,men,cost,1910_pop,1910_percent,1900_pop,1900_percent,distance,examples,alt_text,full
interact_02.png,Romani,4,3.60%,50.00%,50.00%,10.25,,,,,,"Gipsy, Gipsy King, Gipsy Queen","An illustration of a woman in a detailed dress, holding a tambourine and standing beside a tall, bearded man. The woman's dress features decorative patterns, and the man's cape has circular patterns. Below, there is a small figure with a feathered headpiece.","Gipsy, Gipsy King, Gipsy Queen, Queen, Gipsy"
interact_42.png,Russian,4,3.60%,75.00%,25.00%,6.75,17986,1.57,2728,0.53,4706,"Russian Hussar, Russian Lady, Russian Peasant","A list of numbered entries. Number 116 says ""Roman-Grecian Statue."" Number 117 says ""Russian Lady."" Number 118 says ""Russian Peasant."" Number 119 says ""Russian Princess."" Number 120 says ""Sailor, Girl."" Text continues faintly with number 121 ""Schwartzwalderin,"" number 122 ""Scotch Lady,"" number 123 ""Serio-Comic Dancing,"" and number 124 ""Snow Queen.""","Russian Hussar, Russian Lady, Russian Peasant, Russian Princess"
interact_43.png,Scottish,4,3.60%,50.00%,50.00%,7.25,16230,1.42,3623,0.7,4312,"Highlander, Scotchman, Highland Lassie","""A list of numbered items with corresponding names. The list includes:

106. Guardsmen,
107. Hamlet
108. Henry IV
109. Henry VIII
110. Highlander
111. Hungarian Huzzar
112. Hunter
113. Iago
114. Incroyable
115. Indian""","Highlander, Scotchman, Highland Lassie, Scotch Lady"
interact_44.png,Indian,3,2.70%,66.70%,33.30%,7.5,186,0.02,,,7516,"Sultan, Indian Girl, Sultana","""A list of names with numbers, appearing to be part of an index or catalog. It includes:

- 230. Spanish Prince
- 231. Sultan
- 232. Swell Coon
- 233. Swiss
- 234. Toreador
- 235. Touchstone
- 236. Turk 

Names are separated by periods or dashes.""","Sultan, Indian Girl, Sultana"
interact_15.png,Polish,3,2.70%,33.30%,66.70%,8.17,,,,,5106,"Polish Courtier, Polish Prince, Polish Princess","A man depicted in detailed, formal attire with a feathered hat, holding a sword at his side. The text below reads ""Polish Prince.""","Polish Courtier, Polish Prince, Polish Princess"
interact_45.png,Mexican/Latin American,3,2.70%,33.30%,66.70%,8.67,,,,,1904,"Mexican, Vaquero, Mexican Lady","""Text showing a numbered list with the following items:

154. Mephistopheles
155. Merchant of Venice
156. Mexican
157. Michael Strogoff
158. Mikado
159. Miles Standish
160. Monk
161. Monkey
162. Muskateer (Musquetaer)""","Mexican, Vaquero, Mexican Lady"
interact_46.png,Swiss,3,2.70%,33.30%,66.70%,9.5,7205,0.63,1285,0.25,5118,"Swiss, Tyrolean, Tyrolese","Text listing with numbered entries showing the names ""Swell Coon"" at number 232, ""Swiss"" at number 233, and ""Toreador"" at number 234.","Swiss, Tyrolean, Tyrolese"
interact_47.png,African,2,1.80%,0.00%,100.00%,8,,,,,10275,"Black Prince, Zulu","A list with numbers and names partially visible. Number 146 is ""Zingara,"" and number 147 is ""Zulu Princess."" Below is a blurred section with large text starting with ""FORM OF ME.""","Black Prince, Zulu"
interact_48.png,Czech,2,1.80%,0.00%,100.00%,4.25,,,,,5133,"Bohemian Peasant, Peasant, Bohemian","Text listing names and titles in a numbered sequence. It includes ""Oliver Cromwell,"" ""Orlando,"" ""Othello,"" ""Page, Henry IV,"" ""Peasant,"" ""Peasant, Bohemian,"" ""Peasant, Fancy,"" ""Peasant, German,"" ""Peasant, Italian,"" ""Pertuchio,"" and ""Phillip of Spain."" The numbers range from 170 to 180.","Bohemian Peasant, Peasant, Bohemian"
interact_49.png,Greek,2,1.80%,50.00%,50.00%,6,4316,0.38,65,0.01,5950,"Grecian Costume, Grecian Lady","A portion of a list featuring costumes and characters with item numbers. The list includes ""103. Gondolier,"" ""104. Grecian Costume,"" ""105. Guardsmen, 'Aramis',"" ""106. Guardsmen, 'Arthos',"" with some lines below partially visible and blurred.","Grecian Costume, Grecian Lady"
interact_22.png,Hungarian,2,1.80%,50.00%,50.00%,7.25,1707,0.15,222,0.04,5411,"Hungarian Hussar, Hungarian Peasant","A person in elaborate military attire stands with one hand on the hip. The individual is wearing a decorated hat with a plume, a jacket with detailed patterns, and boots. A sash or fabric is draped over one shoulder. The word ""Hussar"" is written below.","Hungarian Hussar, Hungarian Peasant"
interact_12.png,Irish,2,1.80%,50.00%,50.00%,6,35556,3.11,7261,1.4,4353,"Irishman, Irish Girl","An illustration of a thick, curved mustache with curled ends. Below it, the text reads ""Irish Sluggers on Gauze or Wire.""","Irishman, Irish Girl"
